awards_count,dblp_records,name,years
0,0,Jeff Bezos,
0,60,Atta ur Rehman Khan,"[[2024, 2024], [2012, 2023]]"
0,30,Abhay Bhushan,"[[1973, 1973], [1968, 1972]]"
14,0,Gordon Bell,
0,71,Peter Bernus,"[[2023, 2023], [1990, 1993], [1995, 1998], [2000, 2000], [2002, 2003], [2005, 2006], [2008, 2022]]"
2,0,Jean Bartik,
0,0,Anthony James Barr,
0,198,Daniel J. Bernstein,"[[2024, 2024], [1990, 1990], [1996, 1996], [1998, 1999], [2001, 2001], [2004, 2023]]"
11,0,David Bader,
5,74,Tim Berners-Lee,"[[2023, 2023], [1988, 1988], [1992, 1992], [1994, 2000], [2005, 2019]]"
0,1,Cecilia Berdichevsky,"[[2006, 2006]]"
0,167,Steven M. Bellovin,"[[2023, 2023], [1986, 1986], [1989, 2022]]"
0,0,Arif Zaman,
2,85,Rudolf Bayer,"[[2008, 2008], [1966, 1967], [1970, 1980], [1982, 1987], [1989, 2003], [2005, 2005], [2007, 2007]]"
3,182,Friedrich L. Bauer,"[[2012, 2012], [1958, 1964], [1966, 1966], [1970, 1972], [1975, 1976], [1978, 1994], [1996, 2011]]"
2,107,Andrew Barto,"[[2021, 2021], [1978, 1978], [1983, 1983], [1985, 1985], [1989, 2015], [2017, 2017], [2019, 2019]]"
0,0,Nobuo Yoneda,
0,127,Victor Bahl,"[[2023, 2023], [1988, 1989], [1995, 1995], [1997, 2022]]"
3,0,John Yen,
15,18,Konrad Zuse,"[[2008, 2008], [1956, 1956], [1959, 1959], [1967, 1967], [1975, 1975], [1979, 1983], [1990, 1991], [1993, 1994], [2001, 2001]]"
0,5,Mark Zuckerberg,"[[2022, 2022], [2004, 2004], [2006, 2006], [2010, 2010], [2016, 2016]]"
0,4,Jill Zimmerman,"[[2012, 2012], [1993, 1993], [2006, 2006]]"
0,272,Shlomo Zilberstein,"[[2023, 2023], [1991, 1991], [1993, 2022]]"
0,97,Hussein Zedan,"[[2017, 2017], [1987, 1987], [1990, 2011], [2013, 2014]]"
0,194,Stanley Zdonik,"[[2022, 2022], [1980, 1980], [1983, 1999], [2001, 2021]]"
0,0,Jie Wu,
0,118,Hans Zantema,"[[2023, 2023], [1991, 1997], [1999, 2022]]"
0,0,Beatrice Helen Worsley,
16,194,Lotfi Zadeh,"[[2019, 2019], [1956, 1956], [1961, 1961], [1963, 1963], [1965, 1965], [1968, 1969], [1971, 1975], [1977, 1977], [1979, 1979], [1982, 1989], [1991, 2018]]"
15,607,Moti Yung,"[[2023, 2023], [1984, 2022]]"
0,0,Mike Woodger,
0,0,Dennis E. Wisnosky,
0,18,Edward Yourdon,"[[2007, 2007], [1975, 1975], [1977, 1977], [1985, 1985], [1990, 1991], [1994, 1998], [2000, 2000], [2002, 2002], [2005, 2005]]"
1,0,Patrick Winston,
4,179,Andrew Chi-Chih Yao,"[[2023, 2023], [1974, 1983], [1985, 2018], [2020, 2022]]"
1,290,Mihalis Yannakakis,"[[2023, 2023], [1978, 2022]]"
0,84,William Wulf,"[[2011, 2011], [1968, 1978], [1980, 1981], [1983, 1983], [1986, 1986], [1988, 1988], [1992, 2000], [2007, 2007]]"
0,1,Steve Wozniak,"[[2016, 2016]]"
1,0,Adriaan van Wijngaarden,
6,10,Philip Woodward,"[[1972, 1972], [1953, 1953], [1961, 1961], [1966, 1966], [1970, 1970]]"
1,37,Stephen Wolfram,"[[2022, 2022], [1981, 1981], [1985, 1985], [1988, 1988], [1990, 1992], [1994, 1994], [1996, 1997], [1999, 1999], [2002, 2003], [2012, 2013], [2016, 2017], [2019, 2021]]"
0,25,Neil Wiseman,"[[1996, 1996], [1961, 1961], [1963, 1964], [1968, 1968], [1971, 1972], [1975, 1975], [1977, 1979], [1982, 1988], [1990, 1990], [1992, 1993], [1995, 1995]]"
10,92,Niklaus Wirth,"[[2021, 2021], [1963, 1966], [1968, 1969], [1971, 1971], [1973, 1979], [1981, 1983], [1985, 1996], [1998, 2003], [2006, 2008], [2010, 2010], [2012, 2012]]"
6,0,Steve Whittaker,
1,116,Terry Winograd,"[[2020, 2020], [1973, 1973], [1977, 1980], [1983, 1990], [1992, 2009], [2012, 2012], [2016, 2019]]"
0,40,Shmuel Winograd,"[[1994, 1994], [1962, 1968], [1972, 1972], [1975, 1975], [1977, 1983], [1985, 1988], [1990, 1992]]"
3,0,David Wheeler,
12,2,Sophie Wilson,"[[2020, 2020], [2019, 2019]]"
6,25,James H. Wilkinson,"[[2007, 2007], [1958, 1963], [1965, 1965], [1967, 1971], [1975, 1975], [1992, 1992]]"
0,199,Yorick Wilks,"[[2023, 2023], [1968, 1969], [1973, 1973], [1975, 1980], [1983, 2012], [2014, 2019]]"
10,84,Maurice Vincent Wilkes,"[[2007, 2007], [1951, 1952], [1958, 1959], [1961, 1962], [1964, 1969], [1971, 1974], [1976, 1978], [1980, 1984], [1986, 1986], [1988, 1988], [1990, 1998], [2000, 2001], [2003, 2003], [2006, 2006]]"
0,0,Mark Weiser,
0,2,Mary Allen Wilkes,"[[1970, 1970]]"
4,2,Norbert Wiener,"[[1984, 1984], [1950, 1950]]"
3,204,Gio Wiederhold,"[[2016, 2016], [1967, 1968], [1971, 1973], [1975, 1977], [1979, 2011], [2014, 2014]]"
6,218,Jennifer Widom,"[[2017, 2017], [1986, 2016]]"
0,0,Steve Ward,
0,0,James Z. Wang,
0,2,Franklin H. Westervelt,"[[1992, 1992], [1979, 1979]]"
0,0,David Wagner,
0,19,Joseph Weizenbaum,"[[2008, 2008], [1958, 1958], [1961, 1964], [1966, 1967], [1969, 1970], [1976, 1977], [1980, 1980], [1983, 1983], [1986, 1986], [1993, 1993], [2005, 2005]]"
0,11,Peter J. Weinberger,"[[1994, 1994], [1976, 1976], [1978, 1979], [1983, 1985], [1988, 1988]]"
0,12,Joseph Henry Wegstein,"[[1965, 1965], [1952, 1952], [1958, 1960], [1962, 1963]]"
2,102,Peter Wegner,"[[2012, 2012], [1960, 1962], [1966, 1967], [1969, 1972], [1974, 1974], [1976, 1976], [1978, 1978], [1980, 1999], [2001, 2006], [2008, 2008], [2010, 2010]]"
10,168,Philip Wadler,"[[2021, 2021], [1976, 1976], [1980, 1981], [1984, 2020]]"
0,72,Jan Weglarz,"[[2023, 2023], [1976, 1977], [1979, 1980], [1984, 1984], [1986, 1986], [1995, 2002], [2004, 2018], [2020, 2022]]"
8,118,Kevin Warwick,"[[2022, 2022], [1991, 1992], [1995, 1996], [1998, 2021]]"
0,38,David H. D. Warren,"[[2004, 2004], [1976, 1978], [1980, 1984], [1987, 1988], [1990, 1991], [1993, 1996], [2003, 2003]]"
1,241,Manfred K. Warmuth,"[[2023, 2023], [1984, 2022]]"
0,0,François Vernadat,
7,57,David Waltz,"[[2012, 2012], [1975, 1975], [1977, 1993], [1995, 2000], [2005, 2006], [2008, 2011]]"
0,0,Dorothy Vaughan,
0,7,Eiiti Wada,"[[2010, 2010], [1960, 1960], [1969, 1969], [1971, 1971], [1986, 1987], [1996, 1996]]"
0,35,Paul Vixie,"[[2020, 2020], [1994, 2000], [2002, 2003], [2005, 2009], [2011, 2015], [2018, 2018]]"
0,307,Jeffrey Scott Vitter,"[[2024, 2024], [1980, 2023]]"
8,43,Andrew Viterbi,"[[2022, 2022], [1965, 1967], [1969, 1970], [1972, 1974], [1976, 1979], [1983, 1983], [1985, 1985], [1989, 1994], [1996, 1996], [1998, 2000], [2002, 2002], [2006, 2007], [2009, 2009], [2018, 2018]]"
0,254,Paul Vitanyi,"[[2023, 2023], [1974, 1978], [1980, 2020], [2022, 2022]]"
0,0,David Turner,
2,39,Sergiy Vilkomir,"[[2018, 2018], [2001, 2017]]"
0,9,Richard Veryard,"[[2022, 2022], [1994, 1994], [1996, 1996], [2001, 2001], [2003, 2003], [2007, 2007]]"
4,625,Manuela M. Veloso,"[[2024, 2024], [1991, 1991], [1993, 2023]]"
1,112,Umesh Vazirani,"[[2023, 2023], [1982, 1990], [1992, 2009], [2011, 2014], [2017, 2022]]"
0,12,Bernard Vauquois,"[[1985, 1985], [1959, 1960], [1963, 1963], [1965, 1969], [1980, 1980]]"
14,774,Moshe Vardi,"[[2024, 2024], [1979, 2023]]"
0,0,Godfried Toussaint,
11,84,Vladimir Vapnik,"[[2021, 2021], [1989, 1989], [1991, 2004], [2006, 2011], [2013, 2017], [2019, 2020]]"
10,0,Leonardo Torres Quevedo,
14,119,Leslie Valiant,"[[2021, 2021], [1973, 1996], [1998, 2013], [2017, 2018]]"
3,341,Jeffrey D. Ullman,"[[2023, 2023], [1965, 2003], [2005, 2005], [2007, 2007], [2009, 2022]]"
1,135,Murray Turoff,"[[2020, 2020], [1971, 1971], [1973, 1974], [1976, 1976], [1978, 1983], [1985, 1987], [1989, 2019]]"
0,0,Simon Thompson,
1,12,Alan Turing,"[[2012, 2012], [1937, 1938], [1942, 1942], [1948, 1948], [1950, 1950], [1990, 1990], [2001, 2001], [2003, 2003]]"
25,0,Ken Thompson,
16,6,John Tukey,"[[2017, 2017], [1966, 1966], [1974, 1975], [1977, 1977], [1992, 1992]]"
0,114,John V. Tucker,"[[2023, 2023], [1979, 1985], [1987, 1993], [1995, 1996], [1998, 2014], [2016, 2018], [2020, 2022]]"
0,97,Joseph F Traub,"[[2015, 2015], [1960, 1966], [1968, 1986], [1988, 1988], [1991, 1993], [1997, 2002], [2004, 2007], [2009, 2009], [2011, 2014]]"
0,0,Avie Tevanian,
